geneOrientation regularity r2 nrl sample
convergent regularity_Q1 0.9998513011152417 164 isw2
convergent regularity_Q2 0.9997566416548368 157 isw2
convergent regularity_Q3 0.9997742238946378 162.99999999999997 isw2
convergent regularity_Q4 0.9998513011152417 164 isw2
lonely regularity_Q1 0.9958943000655165 151.00000000000003 isw2
lonely regularity_Q2 0.9992193598750976 159.99999999999997 isw2
lonely regularity_Q3 0.9997742238946378 162.99999999999997 isw2
lonely regularity_Q4 1 169.99999999999997 isw2
tandem regularity_Q1 0.9990147783251232 156 isw2
tandem regularity_Q2 0.9997742238946378 162.99999999999997 isw2
tandem regularity_Q3 0.9997849076895501 166.99999999999997 isw2
tandem regularity_Q4 1 169.99999999999997 isw2
