geneOrientation regularity r2 nrl sample
convergent regularity_Q1 0.994157401351646 150.99999999999997 wt
convergent regularity_Q2 0.999831365935919 154 wt
convergent regularity_Q3 0.9997742238946378 162.99999999999997 wt
convergent regularity_Q4 0.9998513011152417 164 wt
lonely regularity_Q1 0.9984442523768366 151.99999999999997 wt
lonely regularity_Q2 0.9997742238946378 162.99999999999997 wt
lonely regularity_Q3 0.9998513011152417 164 wt
lonely regularity_Q4 1 169.99999999999997 wt
tandem regularity_Q1 1 160 wt
tandem regularity_Q2 0.9998513011152417 164 wt
tandem regularity_Q3 0.9998548621190131 165.99999999999997 wt
tandem regularity_Q4 1 169.99999999999997 wt
